Clasificación;Título del Producto;Precio;URL
🟢 TORNILLO;"Tornillo Autoperforante Fibrocemento 1 "" 6 100 unidad(es)";3290.0;"https://www.sodimac.cl/sodimac-cl/articulo/146195263/Tornillo-Autoperforante-Fibrocemento-1-""-6-100-unidad(es)/146195264"
🟢 TORNILLO;Tornillo Autoperforante Madera 4.8 mm 4 unidad(es);2290.0;https://www.sodimac.cl/sodimac-cl/articulo/112907343/Tornillo-Autoperforante-Madera-4.8-mm-4-unidad(es)/112907344
🟢 TORNILLO;"Tornillo Autoperforante Metal 1/2 "" 8 200 unidad(es)";11790.0;"https://www.sodimac.cl/sodimac-cl/articulo/146353530/Tornillo-Autoperforante-Metal-1-2-""-8-200-unidad(es)/146353531"
🟢 TORNILLO;Tornillo Autoperforante Madera/Metal/Concreto 31 mm 3.9 mm 200 unidad(es);15990.0;https://www.sodimac.cl/sodimac-cl/articulo/133017282/Tornillo-Autoperforante-Madera-Metal-Concreto-31-mm-3.9-mm-200-unidad(es)/133017283
🟢 TORNILLO;Tornillo Autoperforante Metal 25 mm 4.2 mm 5 unidad(es);490.0;https://www.sodimac.cl/sodimac-cl/articulo/112907319/Tornillo-Autoperforante-Metal-25-mm-4.2-mm-5-unidad(es)/112907320
🟢 TORNILLO;Tornillo Autoperforante Metal 13 mm 3.9 mm 5 unidad(es);390.0;https://www.sodimac.cl/sodimac-cl/articulo/112907299/Tornillo-Autoperforante-Metal-13-mm-3.9-mm-5-unidad(es)/112907300
🟢 TORNILLO;TORNILLO CRS ZINCADO 6X1 1/4 1000 UNIDADES;10990.0;https://www.sodimac.cl/sodimac-cl/articulo/122201310/TORNILLO-CRS-ZINCADO-6X1-1-4-1000-UNIDADES/122201311
🟢 TORNILLO;TORNILLO VOLCANITA PTA BROCA 1 5/8;4860.0;https://www.sodimac.cl/sodimac-cl/articulo/129263568/TORNILLO-VOLCANITA-PTA-BROCA-1-5-8/129263569
🟢 TORNILLO;"Tornillo aglomerado 3,5x15"" 1000uds";6690.0;"https://www.sodimac.cl/sodimac-cl/articulo/146670834/Tornillo-aglomerado-3,5x15""-1000uds/146670835"
🟢 TORNILLO;"Tornillo Hexagonal Punta Broca 12 x 3/4"" 100 Unidades";14364.0;"https://www.sodimac.cl/sodimac-cl/articulo/139865638/Tornillo-Hexagonal-Punta-Broca-12-x-3-4""-100-Unidades/139865639"
🟢 TORNILLO;Tornillo Cabeza Hexagonal Cg Punta Broca 1 /4-14x 2  100un;10590.0;https://www.sodimac.cl/sodimac-cl/articulo/149089526/Tornillo-Cabeza-Hexagonal-Cg-Punta-Broca-1--4-14x-2--100un/149089527
🟢 TORNILLO;Tornillos Madera/volcanita Zincado 6x1 1 Kilo 820 Unids.;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/150686100/Tornillos-Madera-volcanita-Zincado-6x1-1-Kilo-820-Unids./150686101
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X3/4 Punta Broca 1000 Unid;9990.0;https://www.sodimac.cl/sodimac-cl/articulo/144312832/Tornillo-Cabeza-De-Lenteja-8X3-4-Punta-Broca-1000-Unid/144312834
🟢 TORNILLO;Tornillo Volcanita Punta Fina 6x1 5/8 Zinc 500 unds;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/143044367/Tornillo-Volcanita-Punta-Fina-6x1-5-8-Zinc-500-unds/143044368
🟢 TORNILLO;Tornillo Cabeza Hexagonal Cg Punta Broca 12-14 x 3 1/2 100un;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/149089658/Tornillo-Cabeza-Hexagonal-Cg-Punta-Broca-12-14-x-3-1-2-100un/149089659
🟢 TORNILLO;Tornillo Volcanita Punta Broca 6X1 Zinc 1000 unidades;8990.0;https://www.sodimac.cl/sodimac-cl/articulo/140661448/Tornillo-Volcanita-Punta-Broca-6X1-Zinc-1000-unidades/140661449
